id,obligation_id,title,jurisdiction_level,jurisdiction,state,county,city,category,date,frequency,notes,sources,created_at,updated_at
1005,irs-form-941-q3,IRS Form 941 - Employer's Quarterly Federal Tax Return (Q3),federal,Federal - IRS,,,,Payroll/Employment,2025-10-31,quarterly,Declaração trimestral de imposto de folha de pagamento para o 3º trimestre.,{https://www.irs.gov/forms-pubs/about-form-941},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1006,irs-estimated-1040-q4,IRS Form 1040-ES - Estimated Tax (Q4 installment),federal,Federal - IRS,,,,Individual,2026-01-15,quarterly,Pagamento estimado de imposto para pessoas físicas (parcela Q4).,{https://www.irs.gov/forms-pubs/about-form-1040-es},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
8193,oh-various-property-tax,Various County Property Tax,county,OH County,OH,OH County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, OH",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8196,nm-various-business-license,Various County Business License,county,NM County,NM,NM County,,Business License,2025-12-31,annual,"Business license renewal for Various County, NM",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8197,nm-various-property-tax,Various County Property Tax,county,NM County,NM,NM County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, NM",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8198,va-various-business-license,Various County Business License,county,VA County,VA,VA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, VA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8199,va-various-property-tax,Various County Property Tax,county,VA County,VA,VA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, VA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8200,pa-various-business-license,Various County Business License,county,PA County,PA,PA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, PA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8201,pa-various-property-tax,Various County Property Tax,county,PA County,PA,PA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, PA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8202,ia-various-business-license,Various County Business License,county,IA County,IA,IA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, IA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8203,ia-various-property-tax,Various County Property Tax,county,IA County,IA,IA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, IA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8204,ak-various-business-license,Various County Business License,county,AK County,AK,AK County,,Business License,2025-12-31,annual,"Business license renewal for Various County, AK",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8205,ak-various-property-tax,Various County Property Tax,county,AK County,AK,AK County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, AK",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8206,mi-various-business-license,Various County Business License,county,MI County,MI,MI County,,Business License,2025-12-31,annual,"Business license renewal for Various County, MI",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8207,mi-various-property-tax,Various County Property Tax,county,MI County,MI,MI County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, MI",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8208,md-various-business-license,Various County Business License,county,MD County,MD,MD County,,Business License,2025-12-31,annual,"Business license renewal for Various County, MD",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8209,md-various-property-tax,Various County Property Tax,county,MD County,MD,MD County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, MD",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8210,wi-various-business-license,Various County Business License,county,WI County,WI,WI County,,Business License,2025-12-31,annual,"Business license renewal for Various County, WI",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8211,wi-various-property-tax,Various County Property Tax,county,WI County,WI,WI County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, WI",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8212,co-various-business-license,Various County Business License,county,CO County,CO,CO County,,Business License,2025-12-31,annual,"Business license renewal for Various County, CO",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8213,co-various-property-tax,Various County Property Tax,county,CO County,CO,CO County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, CO",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8214,ga-various-business-license,Various County Business License,county,GA County,GA,GA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, GA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8215,ga-various-property-tax,Various County Property Tax,county,GA County,GA,GA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, GA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8218,me-various-business-license,Various County Business License,county,ME County,ME,ME County,,Business License,2025-12-31,annual,"Business license renewal for Various County, ME",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8219,me-various-property-tax,Various County Property Tax,county,ME County,ME,ME County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, ME",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8230,vt-various-business-license,Various County Business License,county,VT County,VT,VT County,,Business License,2025-12-31,annual,"Business license renewal for Various County, VT",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8231,vt-various-property-tax,Various County Property Tax,county,VT County,VT,VT County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, VT",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8232,la-various-business-license,Various County Business License,county,LA County,LA,LA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, LA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8233,la-various-property-tax,Various County Property Tax,county,LA County,LA,LA County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, LA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8234,or-various-business-license,Various County Business License,county,OR County,OR,OR County,,Business License,2025-12-31,annual,"Business license renewal for Various County, OR",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
1007,irs-form-940-annual,IRS Form 940 - Employer's Annual Federal Unemployment Tax Return,federal,Federal - IRS,,,,Payroll/Employment,2026-01-31,annual,Declaração anual de imposto federal de desemprego.,{https://www.irs.gov/forms-pubs/about-form-940},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1008,irs-form-1120-annual,IRS Form 1120 - U.S. Corporation Income Tax Return,federal,Federal - IRS,,,,Corporate,2026-03-15,annual,Declaração anual de imposto de renda para corporações.,{https://www.irs.gov/forms-pubs/about-form-1120},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1009,irs-form-1065-annual,IRS Form 1065 - U.S. Return of Partnership Income,federal,Federal - IRS,,,,Partnership,2026-03-15,annual,Declaração anual de imposto de renda de sociedade.,{https://www.irs.gov/forms-pubs/about-form-1065},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1010,irs-form-1120s-annual,IRS Form 1120S - U.S. Income Tax Return for an S Corporation,federal,Federal - IRS,,,,S-Corporation,2026-03-15,annual,Declaração anual de imposto de renda para S-Corporation.,{https://www.irs.gov/forms-pubs/about-form-1120s},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1011,irs-form-1040-annual,IRS Form 1040 - U.S. Individual Income Tax Return,federal,Federal - IRS,,,,Individual,2026-04-15,annual,Declaração anual de imposto de renda individual.,{https://www.irs.gov/forms-pubs/about-form-1040},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1012,irs-form-941-q1,IRS Form 941 - Employer's Quarterly Federal Tax Return (Q1),federal,Federal - IRS,,,,Payroll/Employment,2026-04-30,quarterly,Declaração trimestral de imposto de folha de pagamento para o 1º trimestre.,{https://www.irs.gov/forms-pubs/about-form-941},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1013,irs-form-941-q2,IRS Form 941 - Employer's Quarterly Federal Tax Return (Q2),federal,Federal - IRS,,,,Payroll/Employment,2026-07-31,quarterly,Declaração trimestral de imposto de folha de pagamento para o 2º trimestre.,{https://www.irs.gov/forms-pubs/about-form-941},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1014,irs-form-941-q4,IRS Form 941 - Employer's Quarterly Federal Tax Return (Q4),federal,Federal - IRS,,,,Payroll/Employment,2026-01-31,quarterly,Declaração trimestral de imposto de folha de pagamento para o 4º trimestre.,{https://www.irs.gov/forms-pubs/about-form-941},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
8235,or-various-property-tax,Various County Property Tax,county,OR County,OR,OR County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, OR",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8236,wv-various-business-license,Various County Business License,county,WV County,WV,WV County,,Business License,2025-12-31,annual,"Business license renewal for Various County, WV",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8237,wv-various-property-tax,Various County Property Tax,county,WV County,WV,WV County,,Property Tax,2025-12-31,annual,"Property tax assessment for Various County, WV",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
8238,wa-various-business-license,Various County Business License,county,WA County,WA,WA County,,Business License,2025-12-31,annual,"Business license renewal for Various County, WA",{},2025-09-30 15:38:40.236947,2025-09-30 15:38:40.236947
1015,irs-form-1040es-q1,IRS Form 1040-ES - Estimated Tax (Q1 installment),federal,Federal - IRS,,,,Individual,2026-04-15,quarterly,Pagamento estimado de imposto para pessoas físicas (parcela Q1).,{https://www.irs.gov/forms-pubs/about-form-1040-es},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1016,irs-form-1040es-q2,IRS Form 1040-ES - Estimated Tax (Q2 installment),federal,Federal - IRS,,,,Individual,2026-06-15,quarterly,Pagamento estimado de imposto para pessoas físicas (parcela Q2).,{https://www.irs.gov/forms-pubs/about-form-1040-es},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1017,irs-form-1040es-q3,IRS Form 1040-ES - Estimated Tax (Q3 installment),federal,Federal - IRS,,,,Individual,2025-09-15,quarterly,Pagamento estimado de imposto para pessoas físicas (parcela Q3).,{https://www.irs.gov/forms-pubs/about-form-1040-es},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1018,irs-form-990-annual,IRS Form 990 - Return of Organization Exempt From Income Tax,federal,Federal - IRS,,,,Non-Profit,2026-05-15,annual,Declaração anual para organizações isentas de imposto de renda.,{https://www.irs.gov/forms-pubs/about-form-990},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1019,irs-form-1099-misc-annual,IRS Form 1099-MISC - Miscellaneous Income,federal,Federal - IRS,,,,Information Return,2026-01-31,annual,Declaração anual de rendimentos diversos para contratados/fornecedores.,{https://www.irs.gov/forms-pubs/about-form-1099-misc},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1020,irs-form-w2-annual,IRS Form W-2 - Wage and Tax Statement,federal,Federal - IRS,,,,Information Return,2026-01-31,annual,Declaração anual de salários e impostos para funcionários.,{https://www.irs.gov/forms-pubs/about-form-w-2},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1042,ca-franchise-tax,California Franchise Tax Board - Annual Return,state,CA,CA,,,Franchise Tax,2026-03-15,annual,Declaração anual do Franchise Tax Board da Califórnia.,{https://www.ftb.ca.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1043,ny-payroll-withholding,New York Withholding Tax (Semi-weekly depositor),state,NY,NY,,,Payroll Withholding,2025-10-08,semi-weekly,Prazos variam conforme calendário de depósito; exemplo ilustrativo.,{https://www.tax.ny.gov/bus/withhold/when.htm},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1044,ny-sales-tax-monthly,New York Sales Tax Return (Monthly),state,NY,NY,,,Sales Tax,2025-11-20,monthly,Declaração mensal de Sales Tax em Nova York.,{https://www.tax.ny.gov/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
1046,fl-corporate-income-tax,Florida Corporate Income Tax Return,state,FL,FL,,,Corporate Tax,2026-04-01,annual,Declaração anual de imposto de renda corporativo na Flórida.,{https://floridarevenue.com/},2025-09-30 14:38:56.086984,2025-09-30 14:38:56.086984
